章子怡 : { 转发数:58513 ; 点赞数:864799 }
张震 : { 转发数:10492 ; 点赞数:133811 }
米雪 : { 转发数:790 ; 点赞数:7271 }
王力宏 : { 转发数:105421 ; 点赞数:366261 }
王盛德 : { 转发数:71 ; 点赞数:131 }
韩童生 : { 转发数:0 ; 点赞数:0 }
黄晓明 : { 转发数:82731 ; 点赞数:446537 }
陈楚生 : { 转发数:20518 ; 点赞数:61399 }
铁政 : { 转发数:46 ; 点赞数:818 }
黄梦莹 : { 转发数:1878 ; 点赞数:95889 }
伍麟凯 : { 转发数:0 ; 点赞数:0 }
吴谨言 : { 转发数:486558 ; 点赞数:358084 }
都金翰 : { 转发数:1597 ; 点赞数:12920 }
王天泽 : { 转发数:156 ; 点赞数:6666 }
赵又廷 : { 转发数:955135 ; 点赞数:299355 }
杨子姗 : { 转发数:224839 ; 点赞数:70425 }
薛凯琪 : { 转发数:559 ; 点赞数:18227 }
张钧甯 : { 转发数:231295 ; 点赞数:535046 }
陈意涵 : { 转发数:13502 ; 点赞数:588563 }
范湉湉 : { 转发数:556 ; 点赞数:6459 }
王水林 : { 转发数:730 ; 点赞数:4595 }
阮金红 : { 转发数:0 ; 点赞数:0 }
梁咏琪 : { 转发数:7676 ; 点赞数:18696 }
郭富城 : { 转发数:3276 ; 点赞数:31044 }
苑琼丹 : { 转发数:222 ; 点赞数:7366 }
黄渤 : { 转发数:83022 ; 点赞数:554600 }
林志玲 : { 转发数:10720 ; 点赞数:483967 }
刘涛 : { 转发数:714495 ; 点赞数:844652 }
冯绍峰 : { 转发数:47580 ; 点赞数:204529 }
罗仲谦 : { 转发数:514 ; 点赞数:15664 }
赵丽颖 : { 转发数:14680991 ; 点赞数:5337834 }
马赛 : { 转发数:231 ; 点赞数:1087 }
小沈阳 : { 转发数:5837 ; 点赞数:254354 }
管乐 : { 转发数:81 ; 点赞数:547 }
陈雅丽 : { 转发数:21029 ; 点赞数:27590 }
施诗 : { 转发数:10561 ; 点赞数:15676 }
潘斌龙 : { 转发数:21462 ; 点赞数:32581 }
杨梓邑 : { 转发数:2 ; 点赞数:4 }
赵姝婷 : { 转发数:4137 ; 点赞数:15157 }
孙伊涵 : { 转发数:31795 ; 点赞数:141794 }
何昕霖 : { 转发数:32 ; 点赞数:622 }
曹成方子 : { 转发数:0 ; 点赞数:0 }
孙若淇 : { 转发数:426 ; 点赞数:465 }
何妙言 : { 转发数:7 ; 点赞数:60 }
董灵溪 : { 转发数:7 ; 点赞数:51 }
海清 : { 转发数:11061 ; 点赞数:205218 }
张译 : { 转发数:16891 ; 点赞数:102759 }
蒋璐霞 : { 转发数:18057 ; 点赞数:34221 }
尹昉 : { 转发数:14316 ; 点赞数:42566 }
杜江 : { 转发数:365100 ; 点赞数:945559 }
郭家豪 : { 转发数:2619 ; 点赞数:4345 }
黄景瑜 : { 转发数:4899043 ; 点赞数:2863178 }
曾志伟 : { 转发数:67 ; 点赞数:61 }
梁朝伟 : { 转发数:42061 ; 点赞数:171071 }
吴君如 : { 转发数:26820 ; 点赞数:84745 }
杨祐宁 : { 转发数:22148 ; 点赞数:299719 }
黄磊 : { 转发数:42228 ; 点赞数:1564925 }
张俪 : { 转发数:328098 ; 点赞数:692123 }
姜超 : { 转发数:1606 ; 点赞数:8597 }
李宇春 : { 转发数:17778306 ; 点赞数:3054419 }
白百何 : { 转发数:72621 ; 点赞数:244589 }
井柏然 : { 转发数:384174 ; 点赞数:5061194 }
大鹏 : { 转发数:18393 ; 点赞数:51814 }
娄艺潇 : { 转发数:73293 ; 点赞数:434261 }
柳岩 : { 转发数:106890 ; 点赞数:399168 }
吴莫愁 : { 转发数:53831 ; 点赞数:42873 }
李冰冰 : { 转发数:456174 ; 点赞数:377790 }
吴尊 : { 转发数:244435 ; 点赞数:1634175 }
蒋雯丽 : { 转发数:24 ; 点赞数:111 }
范明 : { 转发数:3029 ; 点赞数:39705 }
曹骏 : { 转发数:10209 ; 点赞数:41042 }
周楚濋 : { 转发数:3778 ; 点赞数:22543 }
蓝盈莹 : { 转发数:51283 ; 点赞数:333955 }
白客 : { 转发数:104204 ; 点赞数:159485 }
王玉雯 : { 转发数:582 ; 点赞数:56456 }
张海宇 : { 转发数:5120 ; 点赞数:15621 }
李晨晖 : { 转发数:72 ; 点赞数:179 }
蒋易 : { 转发数:10867 ; 点赞数:33392 }
